ID;Name;Categories;Price;Short desc.;Features;Images URL;Quantity
481222;Taśma LED zewnętrzna IP65 ściemnialna 400 lm/m 2 m INSPIRE;Ledy;31,88 ;.;Źródło światła w zestawie: Tak>Długość (w m): 2>Klasa szczelności (IP + IK): IP65 >Strumień świetlny (w lumenach): 800>Zmiana kolorów: Tak>Barwa światła: Od białego ciepłego do białego zimnego>Zmiana barwy światła: Tak>Klasa ochronności: 2: urządzenie elektryczne z podwójną izolacją>Szerokość (w cm): 1.57>Materiał wykonania: Tworzywo sztuczne>Przeznaczenie: Do każdego rodzaju pomieszczeń>Typ instalacji: Do mocowania>Możliwość ściemniania: Tak>Zasilanie: Sieć zasilająca>Zapłon: Pilot>Kubatura ochrony: 2>Pobór mocy (w W): 18>Napięcie (w V): 230>Pilot na wyposażeniu: Nie>Transformator w zestawie: Nie>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276000701095>Numer referencyjny: 82260890>Cena: 31,88zł /szt;http://localhost/src_img/1/1.jpg>http://localhost/src_img/1/2.jpg>http://localhost/src_img/1/3.jpg>http://localhost/src_img/1/4.jpg>http://localhost/src_img/1/5.jpg>;50
481220;Taśma LED zewnętrzna IP65 RGBW 400 lm/m 5 m INSPIRE;Ledy;109 ;.;Źródło światła w zestawie: Tak>Długość (w m): 5>Klasa szczelności (IP + IK): IP65 >Strumień świetlny (w lumenach): 400>Zmiana kolorów: Tak>Barwa światła: RGB różnokolorowy>Zmiana barwy światła: Tak>Klasa ochronności: 2: urządzenie elektryczne z podwójną izolacją>Szerokość (w cm): 1.57>Materiał wykonania: Tworzywo sztuczne>Przeznaczenie: Do każdego rodzaju pomieszczeń>Typ instalacji: Do mocowania>Możliwość ściemniania: Tak>Zasilanie: Sieć zasilająca>Zapłon: Pilot>Kubatura ochrony: 2>Pobór mocy (w W): 45>Napięcie (w V): 230>Pilot na wyposażeniu: Nie>Transformator w zestawie: Nie>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276000701156>Numer referencyjny: 82260896>Cena: 109zł /szt;http://localhost/src_img/2/1.jpg>http://localhost/src_img/2/2.jpg>http://localhost/src_img/2/3.jpg>http://localhost/src_img/2/4.jpg>http://localhost/src_img/2/5.jpg>http://localhost/src_img/2/6.jpg>http://localhost/src_img/2/7.jpg>http://localhost/src_img/2/8.jpg>http://localhost/src_img/2/9.jpg>;50
637931;Sterownik Mini Tuya biały 12-24 V IP20 Goldlux;Ledy;54,99 ;"Sterownik mini Tuya do taśm LED pomaga sterować jednokolorowmi taśmami za pomocą WiFi z dowolnego miejsca. Posiada funkcje: Schedule: wyłącznik czasowy, włączanie i wyłączanie światła o określonych porach; Left Time: automatyczne włączenie światła po odliczaniu zadanego czasu; oraz tryb ""nie przeszkadzać' gdy zasilaie jest włączone. Aby włączyć światło z poziomu aplikacji, zasilanie musi być włączone dwa razy z rzędu.   INTERFEJS - możesz dostosować jasność świecenia taśmy LED.   SCENY - dostępność różnych trybów, możwiwość wybrania preferowanego trybu lub stworzenie indywidualnego. Możliwość sterowania przez osobę trzecią poprzez jej dodanie zgodnie ze wskazówkami w aplikacji.";Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Długość (w cm): 34.5>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508320292>Numer referencyjny: 85683562>Cena: 54,99zł /szt;http://localhost/src_img/3/1.jpg>http://localhost/src_img/3/2.jpg>;50
637547;Włącznik dotykowy ze ściemniaczem czarny 12-24 V IP20 Goldlux;Ledy;19,99 ;Włącznik dotykowy ze ściemniaczem czarny do jednokolorowych taśm led 12-24V. Oświetlenie włącza i wyłącza się poprzez dotknięcie palcem przycisku. Dłuższe przytrzymanie reguluje jasność oświetlenia. Moc zmanionowa produktu: 12V 2A = 24W / 24V 2A = 48W.;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Czarny>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321473>Numer referencyjny: 85622877>Cena: 19,99zł /szt;http://localhost/src_img/4/1.jpg>;50
637542;Włącznik dotykowy ze ściemniaczem biały 12-24 V Goldlux;Ledy;19,99 ;Włącznik dotykowy ze ściemniaczem biały do jednokolorowych taśm led 12-24V. Oświetlenie włącza i wyłącza się poprzez dotknięcie palcem przycisku. Dłuższe przytrzymanie reguluje jasność oświetlenia. Moc zmanionowa produktu: 12V 2A = 24W / 24V 2A = 48W.;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321466>Numer referencyjny: 85622876>Cena: 19,99zł /szt;http://localhost/src_img/5/1.jpg>;50
637541;Włącznik dotykowy mini 12-24 V IP20 Goldlux;Ledy;39,99 ;Włącznik dotykowy ze ściemniaczem do zabudowy do jednokolorowych taśm led 12-24V. Oświetlenie włącza i wyłącza się poprzez dotknięcie palcem przycisku. Dłuższe przytrzymanie reguluje jasność oświetlenia. Średnica otworu montażowego 17mm. Moc zmanionowa produktu: 12V 3A = 36W / 24V 3A = 72W.;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321459>Numer referencyjny: 85622875>Cena: 39,99zł /szt;http://localhost/src_img/6/1.jpg>;50
637539;Włącznik dotykowy ze ściemniaczem 12-24 V RGBW Goldlux;Ledy;109 ;Podtynkowy włącznik dotykowy ze ściemniaczem do taśm LED RGBW 12-24V 4-kanałowy z puszką montażową w zestawie. Urządzenie służy do łatwego i szybkiego zarządzania matężeniem światła. Możliwość podłączenia wielu taśm o łącznej mocy nie przekraczającej 192W (dla 12V) i 384W (dla 24V).;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Czarny>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321329>Numer referencyjny: 85622874>Cena: 109zł /szt;http://localhost/src_img/7/1.jpg>http://localhost/src_img/7/2.jpg>http://localhost/src_img/7/3.jpg>;50
637537;Pilot i sterownik RGBW 12-24 V IP20 Goldlux;Ledy;49,99 ;"Praktyczny zestaw: pilot + mini sterownik do taśm LED RGB+W 12-24V, 6A, 2,4GHz. Do zdalnego sterowania oświetleniem LED w pomieszczeniu. Pilot radiowy z wieloma funkcjami jak: dowolny wybór koloru z koła barw; skokowe zmiany barw i odcieni; automatyczne zapętlone odtwarzanie trybów.  Wymiary: pilot 11x5,2x2,3 cm / sterownik 32,2x1,4x1,03 cm.";Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508319364>Numer referencyjny: 85622872>Cena: 49,99zł /szt;http://localhost/src_img/8/1.jpg>;50
637527;Pilot i sterownik Mono 5-24 V IP20 Goldlux;Ledy;24,99 ;"Praktyczny zestaw: pilot + mini sterownik do taśm LED RGB+W 5-24V, 12A, 433MHz. Do zdalnego sterowania oświetleniem LED w pomieszczeniu. Pilot radiowy z wieloma funkcjami jak: dowolny wybór koloru z koła barw; skokowe zmiany barw i odcieni; automatyczne zapętlone odtwarzanie trybów.  Wymiary: pilot 8,5x4x0,6 cm / sterownik 32,2x1,4x1,03 cm.";Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321480>Numer referencyjny: 85622878>Cena: 24,99zł /szt;http://localhost/src_img/9/1.jpg>;50
637524;Gniazdo i wtyczka IP20 12-24 V Goldlux;Ledy;7,99 ;Zestaw: Gniazdo i wtyczka 2pin do taśm led 10mm 12-24V. Złacze pozwala połączyć przewód z dowolnym urządzeniem zakończonym gniazdem DC. Aby zamontować wtyczkę wystarczy odizolować przewody, włożyc je i trwale skręcić w odpowiednich zaciskach. Oferowane złącze znajduje zastosowanie jako: podłączenie urządzeń z zasilaczami zakończonymi gniazdem DC, przedłużanie przewodów zasilających, złaczka do montażu taśm LED oraz wiele innych.;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Czarny>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508318633>Numer referencyjny: 85622871>Cena: 7,99zł /szt;http://localhost/src_img/10/1.jpg>http://localhost/src_img/10/2.jpg>;50
