ID;Name;Reference;Brand;Categories;Price;Short desc.;Features;Images URL;Quantity;Tax ID
1;Taśma LED zewnętrzna IP65 ściemnialna 400 lm/m 2 m INSPIRE;82260890;INSPIRE;Ledy>Produkty>Oświetlenie;31,88 ;.;Źródło światła w zestawie: Tak>Długość (w m): 2>Klasa szczelności (IP + IK): IP65 >Strumień świetlny (w lumenach): 800>Zmiana kolorów: Tak>Barwa światła: Od białego ciepłego do białego zimnego>Zmiana barwy światła: Tak>Klasa ochronności: 2: urządzenie elektryczne z podwójną izolacją>Szerokość (w cm): 1.57>Materiał wykonania: Tworzywo sztuczne>Przeznaczenie: Do każdego rodzaju pomieszczeń>Typ instalacji: Do mocowania>Możliwość ściemniania: Tak>Zasilanie: Sieć zasilająca>Zapłon: Pilot>Kubatura ochrony: 2>Pobór mocy (w W): 18>Napięcie (w V): 230>Pilot na wyposażeniu: Nie>Transformator w zestawie: Nie>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276000701095>Numer referencyjny: 82260890>Cena: 31,88zł /szt;http://localhost/src_img/1/1.jpg>http://localhost/src_img/1/2.jpg>http://localhost/src_img/1/3.jpg>http://localhost/src_img/1/4.jpg>http://localhost/src_img/1/5.jpg;50;1
2;Złącze do taśm LED NEON 12 mm Goldlux;86328126;GOLDLUX;Ledy>Produkty>Oświetlenie;4,99 ;Złącza do taśm LED umożliwiają prosty i szybki montaż oświetlenia, bez konieczności lutowania. Złącze stałe połączy dwie taśmy LED w lini prostej.;Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508319708>Numer referencyjny: 86328126>Cena: 4,99zł /szt;http://localhost/src_img/2/1.jpg;50;1
3;Złącze do taśm LED COB 8 mm Goldlux;86298166;GOLDLUX;Ledy>Produkty>Oświetlenie;4,99 ;Złącza do taśm LED umożliwiają prosty i szybki montaż oświetlenia, bez konieczności lutowania. Złącze stałe połączy dwie taśmy LED w lini prostej.;Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508316547>Numer referencyjny: 86298166>Cena: 4,99zł /szt;http://localhost/src_img/3/1.jpg;50;1
4;Złączka do taśm LED COB 8 mm Goldlux;86298165;GOLDLUX;Ledy>Produkty>Oświetlenie;6,99 ;Złącza do taśm LED umożliwiają prosty i szybki montaż oświetlenia, bez konieczności lutowania. Złącze stałe połączy dwie taśmy LED pod dowolnym kątem.;Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508316417>Numer referencyjny: 86298165>Cena: 6,99zł /szt;http://localhost/src_img/4/1.jpg;50;1
5;Złączka do taśm LED RGBW 12mm Goldlux;86298162;GOLDLUX;Ledy>Produkty>Oświetlenie;4,99 ;Złącza do taśm LED umożliwiają prosty i szybki montaż oświetlenia, bez konieczności lutowania. Złącze zasilające jednostronne połączy taśmę LED z zasilaczem.;Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508319791>Numer referencyjny: 86298162>Cena: 4,99zł /szt;http://localhost/src_img/5/1.jpg;50;1
6;Złączka do taśm LED RGBW 10mm Goldlux;86298160;GOLDLUX;Ledy>Produkty>Oświetlenie;4,99 ;Złącza do taśm LED umożliwiają prosty i szybki montaż oświetlenia, bez konieczności lutowania. Złącze stałe połączy dwie taśmy LED pod dowolnym kątem.;Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508320261>Numer referencyjny: 86298160>Cena: 4,99zł /szt;http://localhost/src_img/6/1.jpg;50;1
7;Złączka do taśm LED RGBW 12mm Goldlux;86298163;GOLDLUX;Ledy>Produkty>Oświetlenie;4,99 ;Złącza do taśm LED umożliwiają prosty i szybki montaż oświetlenia, bez konieczności lutowania. Złącze stałe połączy dwie taśmy LED pod dowolnym kątem.;Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508319807>Numer referencyjny: 86298163>Cena: 4,99zł /szt;http://localhost/src_img/7/1.jpg;50;1
8;Sterownik Mini Tuya biały RGBW 12-24 V Goldlux;86296049;GOLDLUX;Ledy>Produkty>Oświetlenie;54,99 ;"Sterownik mini Tuya WiFi do taśm LED RGBW 5pin daje możliwość sterowania taśmą z dowolnego miejsca za pomocą sieci WiFi 2,5GHz; wbudowany mikrofon; wyłącznik czasowy; aplikacja muzyczna; ściemnianie, zmiana barw. Możemy zaplanować pracę taśmy LED np.. stopniowe ściemnianie lub rozjaśnianie barwy o wyznaczonej godzinie. Automatyczne wyłączanie światła po doliczeniu zadanego czasu. Możemy dostosować jasność i temperaturę barwową w trybie białego światła, w trybie światła kolorowego, można zmienić na jakikolwiek kolor RGB oraz dostosować jasność i nasycenie. Sterowanie przez osobę trzecią.";Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508320285>Numer referencyjny: 86296049>Cena: 54,99zł /szt;http://localhost/src_img/8/1.jpg;50;1
9;Złączka do taśm LED RGBW 10mm Goldlux;86298159;GOLDLUX;Ledy>Produkty>Oświetlenie;7,99 ;Złącza do taśm LED umożliwiają prosty i szybki montaż oświetlenia, bez konieczności lutowania. Złącze zasilające jednostronne połączy taśmę LED z zasilaczem.;Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508320254>Numer referencyjny: 86298159>Cena: 7,99zł /szt;http://localhost/src_img/9/1.jpg;50;1
10;Złącze do taśm LED RGBW 10 mm Goldlux;86298158;GOLDLUX;Ledy>Produkty>Oświetlenie;5,99 ;Złącza do taśm LED umożliwiają prosty i szybki montaż oświetlenia, bez konieczności lutowania. Złącze stałe połączy dwie taśmy LED w lini prostej.;Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508320247>Numer referencyjny: 86298158>Cena: 5,99zł /szt;http://localhost/src_img/10/1.jpg;50;1
